OBJECTID,GEOID10,NAMELSAD10,ACRES_LAND,ACRES_WATER,TOTAL_POPULATION,MEDIAN_AGE,WHITE,PCT_WHITE,BLACK,PCT_BLACK,AMER-INDIAN,PCT_AMER-INDIAN,ASIAN,PCT_ASIAN,HAWAIAN-PI,PCT_HAWAIAN-PI,OTHER,PCT_OTHER,TWO_OR_MORE_RACE,PCT_TWO_OR_MORE,HISPANIC_OR_LATINO_OF_ANY_RACE,PCT_HISP_ANY_RACE,POPULATION_IN_HOUSEHOLDS,PCT_POP_IN_HH,POPULATION_IN_GQ,PCT_POP_IN_GQ,HOUSEHOLDS,FAMILY_HOUSEHOLDS,PCT_FAM_HH,NONFAMILY_HOUSEHOLDS,PCT_NON_FAM_HH,AVERAGE_HOUSEHOLD_SIZE,TOTAL_HOUSING_UNITS,OCCUPIED_HOUSING_UNITS,PCT_OCC_HU,VACANT_HOUSING_UNITS,PCT_VACANT_HU,OWNER_OCCUPIED_HOUSING_UNITS,PCT_OWN_OCC_HU,RENTER_OCCUPIED_HOUSING_UNITS,PCT_RENT_OCC_HU,HIGH_SCHOOL_GRADUATE,BACHELOR_DEGREE,PCNT_HIGHSCHOOL_GRAD_OR_HIGHER,PCT_BACHELOR_DEGREE_OR_HIGHER,POPULATION_5_YEARS_AND_OVER,SPEAK_ENGLISH_LESSTHANVERYWELL,PCT_SP_ENG_LESS_THAN_VERYWELL,MEDIAN_HH_INC_PAST_12MO_DOLLAR,PCT_POPULATION_UNDER_POVERTY,PCT_ALL_FAMILY_UNDER_POVERTY,POP_POVERTY_STATUS_DETERMINED,POP_200_PCT_BELOW_POVERTY,PCT_POP_200_PCT_BELOW_POVERTY,PERSON_OF_COLOR,POPULATION_UNDER_18,SPEAK_LANGUAGE_OTHTHAN_ENGLISH,PCT_SPEAK_OTH_THAN_ENGLISH,PCT_POP_UNDER_18,PCT_PERSON_OF_COLOR,HU_VALUE_LESS_THAN_50_000,HU_VALUE_50_000_TO_99_999,HU_VALUE_100_000_TO_149_999,HU_VALUE_150_000_TO_199_999,HU_VALUE_200_000_TO_299_999,HU_VALUE_300_000_TO_499_999,HU_VALUE_500_000_TO_999_999,HU_VALUE_1_000_000_OR_MORE,HU_VALUE_MEDIAN_DOLLARS,WITH_MORTGAGE_SMOCAPI_COMPUTED,WITH_MORTGAGE_SMOCAPI_LESS_20,WITHMORTGAGESMOCAPI_20_TO_24_9,WITHMORTGAGESMOCAPI_25_TO_29_9,WITHMORTGAGESMOCAPI_30_TO_34_9,WITHMORTGAGESMOCAPI_35_OR_MORE,WITHMORTGAGESMOCAPINOTCOMPUTED,MEDIAN_GROSS_RENT,RENT_GRAPI_COMPUTED,GRAPI_LESS_THAN_15_0,GRAPI_15_0_TO_19_9,GRAPI_20_0_TO_24_9,GRAPI_25_0_TO_29_9,GRAPI_30_0_TO_34_9,GRAPI_35_0_OR_MORE,GRAPI_NOT_COMPUTED,CIVILIAN_LABOR_FORCE,CIVILIAN_LABOR_FORCE_EMPLOYED,CIVILIAN_LABOR_FORCE_UNEMPLOYD,NOT_IN_LABOR_FORCE,HH_INCOME_LESS_THAN_10_000,HH_INCOME_10_000_TO_14_999,HH_INCOME_15_000_TO_24_999,HH_INCOME_25_000_TO_34_999,HH_INCOME_35_000_TO_49_999,HH_INCOME_50_000_TO_74_999,HH_INCOME_75_000_TO_99_999,HH_INCOME_100_000_TO_149_999,HH_INCOME_150_000_TO_199_999,HH_INCOME_200_000_OR_MORE,PERCENT_UNEMPLOYED,PERCENT_GRAPI_35_OR_MORE,PERC_SMOCAPI_W_MORT_35_OR_MORE,POP_DENSITY_ACRE,HU_DENSITY_ACRE,HH_DENSITY_ACRE,SHAPE__Area,SHAPE__Length,Jurisdiction,County
1,53033003100,Census Tract 31,530.7052716,115.0315085,6457,42,5620,87,28,0.4,56,0.9,198,3.1,0,0,0,0,205,3.2,350,5.4,6438,99.7,19,0.3,2779,1799,64.7,980,35.3,2.32,2824,2779,98.4,45,1.6,2190,78.8,589,21.2,305,2054,97.7,66.3,6064,41,0.7,104934,4.2,4.7,6438,629,9.8,837,1458,214,3.5,22.6,13,14,0,0,0,28,708,1369,71,579300,1531,697,292,89,131,322,0,1631,546,58,60,124,43,118,143,43,3788,3689,99,1305,46,59,121,176,161,273,392,730,373,448,2.6,26.2,21,12.17,5.32,5.24,4736349.141,11036.74254,Seattle,King
2,53033001500,Census Tract 15,283.1743239,98.46803485,2548,46.3,2269,89.1,0,0,7,0.3,152,6,0,0,0,0,70,2.7,50,2,2548,100,0,0,1118,643,57.5,475,42.5,2.28,1175,1118,95.1,57,4.9,841,75.2,277,24.8,141,836,98.7,65.9,2422,63,2.6,96019,5.6,2.5,2548,226,8.9,279,453,250,10.3,17.8,10.9,9,8,16,0,0,175,529,104,710000,594,247,132,29,49,137,0,1343,268,29,60,74,53,8,44,9,1498,1460,38,644,36,18,29,46,57,183,219,199,96,235,2.5,16.4,23.1,9,4.15,3.95,2528197.898,6252.023805,Seattle,King
3,53033001600,Census Tract 16,476.7502921,113.1043337,4603,43.9,3810,82.8,42,0.9,12,0.3,295,6.4,0,0,9,0.2,301,6.5,134,2.9,4566,99.2,37,0.8,1858,1205,64.9,653,35.1,2.46,1932,1858,96.2,74,3.8,1507,81.1,351,18.9,285,1225,99.5,67.1,4288,84,2,117250,6.4,6.4,4594,555,12.1,793,951,353,8.2,20.7,17.2,7,0,0,0,18,311,799,372,759200,1049,504,158,59,59,269,9,1710,334,32,4,76,67,48,107,17,2634,2534,100,1086,43,45,114,89,77,272,161,328,217,512,3.8,32,25.6,9.65,4.05,3.9,4257020.672,10654.48198,Seattle,King
4,53033020100,Census Tract 201,429.1283562,169.2157881,3172,53.9,2605,82.1,105,3.3,8,0.3,295,9.3,0,0,0,0,87,2.7,72,2.3,2994,94.4,178,5.6,1279,794,62.1,485,37.9,2.34,1304,1279,98.1,25,1.9,1100,86,179,14,252,948,96.2,61.7,3036,87,2.9,106708,5.6,0,3144,484,15.4,567,488,281,9.3,15.4,17.9,27,0,0,0,49,346,545,133,606000,767,209,90,126,84,258,0,1524,171,45,0,63,17,8,38,8,1710,1628,82,1039,36,10,45,96,74,162,162,312,155,227,4.8,22.2,33.6,7.39,3.04,2.98,3842397.063,8308.171603,,King
5,53033001400,Census Tract 14,525.9660981,52.24623202,5550,37.6,4090,73.7,40,0.7,39,0.7,536,9.7,0,0,87,1.6,594,10.7,164,3,5512,99.3,38,0.7,2333,1352,58,981,42,2.36,2425,2333,96.2,92,3.8,1502,64.4,831,35.6,572,1301,94.5,54.4,5267,249,4.7,71144,10.1,8.7,5550,1065,19.2,1460,1008,772,14.7,18.2,26.3,0,0,30,40,136,528,768,0,506600,1149,375,291,103,74,306,18,1376,816,104,63,102,65,153,329,15,3655,3525,130,936,149,53,151,160,192,522,247,358,181,320,3.6,40.3,26.6,10.55,4.61,4.44,4697776.086,13803.07125,Seattle,King
6,53033003000,Census Tract 30,368.9689233,0,5940,38.9,4778,80.4,18,0.3,0,0,277,4.7,22,0.4,0,0,399,6.7,446,7.5,5929,99.8,11,0.2,2608,1411,54.1,1197,45.9,2.27,2639,2608,98.8,31,1.2,1856,71.2,752,28.8,536,1795,96.6,66.3,5598,266,4.8,100500,6.5,2.2,5929,918,15.5,1162,1260,722,12.9,21.2,19.6,0,22,16,0,16,465,1322,15,601800,1339,394,196,200,119,430,17,1575,731,99,184,123,85,68,172,21,3776,3654,122,996,75,62,97,202,167,344,340,624,323,374,3.2,23.5,32.1,16.1,7.15,7.07,3292838.508,7270.250077,Seattle,King
7,53033020200,Census Tract 202,640.4499991,0,5189,49.1,4007,77.2,73,1.4,14,0.3,472,9.1,0,0,4,0.1,265,5.1,354,6.8,4954,95.5,235,4.5,2103,1427,67.9,676,32.1,2.36,2247,2103,93.6,144,6.4,1494,71,609,29,502,1459,95.3,55.7,4947,208,4.2,79882,7.1,1.4,5036,710,14.1,1182,961,780,15.8,18.5,22.8,42,0,0,13,145,625,606,63,475200,990,420,150,70,80,270,0,1325,602,68,38,40,84,89,283,7,2339,2275,64,2038,148,20,106,160,187,349,316,301,221,295,2.7,47,27.3,8.1,3.51,3.28,5734689.25,9968.587863,,King
8,53033001702,Census Tract 17.02,316.3304112,0,4832,37.3,3615,74.8,73,1.5,34,0.7,468,9.7,0,0,0,0,344,7.1,298,6.2,4690,97.1,142,2.9,2274,1003,44.1,1271,55.9,2.06,2345,2274,97,71,3,1326,58.3,948,41.7,376,1607,96.5,57.9,4548,298,6.6,69177,12.4,3.1,4718,1282,27.2,1217,670,859,18.9,13.9,25.2,22,13,0,0,89,734,433,35,409300,1102,319,302,120,85,276,0,1407,922,17,104,169,134,78,420,26,3015,2880,135,1208,122,146,171,87,268,471,294,409,190,116,4.5,45.6,25,15.28,7.41,7.19,2824307.836,7912.794122,Seattle,King
9,53033002900,Census Tract 29,243.6826499,0,4744,38.5,4083,86.1,0,0,1,0,265,5.6,12,0.3,29,0.6,143,3,211,4.4,4738,99.9,6,0.1,1953,1150,58.9,803,41.1,2.43,2002,1953,97.6,49,2.4,1278,65.4,675,34.6,284,1310,98.2,70.5,4489,57,1.3,104375,3.2,1.2,4717,424,9,661,1056,348,7.8,22.3,13.9,7,9,0,23,22,311,874,32,598200,997,526,164,92,35,180,7,1543,651,72,118,62,117,35,247,24,2976,2819,157,755,55,71,41,107,140,334,179,415,281,330,5.3,37.9,18.1,19.47,8.22,8.01,2174728.461,6051.956266,Seattle,King
10,53033001701,Census Tract 17.01,220.5943381,0,4004,35.3,2794,69.8,250,6.2,53,1.3,386,9.6,19,0.5,0,0,268,6.7,234,5.8,3988,99.6,16,0.4,2000,906,45.3,1094,54.7,1.99,2151,2000,93,151,7,924,46.2,1076,53.8,190,1360,98.1,68.1,3644,72,2,69190,13.4,13.1,4004,866,21.6,1210,563,452,12.4,14.1,30.2,7,0,0,107,198,391,221,0,371100,670,306,72,57,72,163,0,1253,1022,162,177,164,219,70,230,54,2807,2606,201,682,209,59,78,88,319,335,212,453,121,126,7.2,22.5,24.3,18.15,9.75,9.07,1969531.125,7773.67667,Seattle,King
