,SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationid,CurrentSchoolType,StudentGroupType,StudentGroup,GradeLevel,Test Administration (group),TestAdministration,TestSubject,Suppression,Count of Students Expected to Test,CountMetStandard,Count of students expected to test including previously passed,PercentMetStandard,PercentLevel1,PercentLevel2,PercentLevel3,PercentLevel4,PercentMetTestedOnly,Percent No Score,DataAsOf
11231,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,3,SBAC,SBAC,ELA,None,102.0,50.0,102.0,49.0%,0.2647058823529,0.2450980392156,0.1862745098039,0.30392156862740000,0.4901960784313,0.0,02/09/2022 12:00:00 AM
11232,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,3,SBAC,SBAC,Math,None,102.0,60.0,102.0,58.8%,0.2156862745098,0.1862745098039,0.22549019607840000,0.3627450980392,0.5940594059405,0.0098039215686,02/09/2022 12:00:00 AM
11234,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,4,SBAC,SBAC,ELA,None,103.0,54.0,103.0,52.4%,0.2912621359223,0.18446601941740000,0.3203883495145,0.2038834951456,0.5242718446601,0.0,02/09/2022 12:00:00 AM
11235,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,4,SBAC,SBAC,Math,None,102.0,48.0,102.0,47.1%,0.1274509803921,0.40196078431370000,0.2450980392156,0.22549019607840000,0.4705882352941,0.0,02/09/2022 12:00:00 AM
11237,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,5,SBAC,SBAC,ELA,None,104.0,62.0,104.0,59.6%,0.22115384615380000,0.18269230769230000,0.375,0.22115384615380000,0.5961538461538000,0.0,02/09/2022 12:00:00 AM
11238,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,5,SBAC,SBAC,Math,None,103.0,56.0,103.0,54.4%,0.1650485436893,0.2912621359223,0.23300970873780000,0.31067961165040000,0.5436893203883,0.0,02/09/2022 12:00:00 AM
11241,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,All Grades,SBAC,SBAC,ELA,None,309.0,166.0,309.0,53.7%,0.25889967637540000,0.2038834951456,0.294498381877,0.2427184466019,0.5372168284789000,0.0,02/09/2022 12:00:00 AM
11242,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,3825.0,Alpac Elementary School,101425.0,P,All,All Students,All Grades,SBAC,SBAC,Math,None,307.0,164.0,307.0,53.4%,0.1693811074918,0.2931596091205,0.2345276872964,0.29967426710090000,0.5359477124183,0.0032573289902000000,02/09/2022 12:00:00 AM
11592,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,5082.0,Arthur Jacobsen Elementary,104336.0,P,All,All Students,3,SBAC,SBAC,ELA,None,86.0,53.0,86.0,61.6%,0.2209302325581,0.1511627906976,0.23255813953480000,0.3837209302325,0.6235294117647,0.0116279069767,02/09/2022 12:00:00 AM
11593,2017-18,School,King,Puget Sound Educational Service District 121,100006.0,17408.0,Auburn School District,100016.0,5082.0,Arthur Jacobsen Elementary,104336.0,P,All,All Students,3,SBAC,SBAC,Math,None,87.0,54.0,87.0,62.1%,0.20689655172410000,0.16091954022980000,0.3103448275862,0.3103448275862,0.6279069767441,0.011494252873500000,02/09/2022 12:00:00 AM
