,SchoolYear,OrganizationLevel,organizationid,OrganizationName,County,ESDName,ESDOrganizationId,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationId,TotalTeacherCount,TotalStudentCount,StudentToTeacherRatio,AverageClassSize,Program,ProgramFormalName,ProgramTeacherCount,ProgramTeacherPercent,ProgramFTE,CertificateType,CertificateTypeCount,CertificateTypePercent,LimitedCertificateType,LimitedCertificateCount,LimitedCertificatePercent,IsEEValidated,DataAsOf
4270,2017-2018,School,100973,Middle College High School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1547.0,Middle College High School,100973.0,11.0,64.0,5.81818,3.0,ALL,,,,,All,,,,,,1,15:22.7
4271,2017-2018,School,100976,Tops K-8 School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1579.0,Tops K-8 School,100976.0,28.0,471.0,16.82143,23.0,ALL,,,,,All,,,,,,1,15:22.7
4272,2017-2018,School,100989,Seattle World School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1596.0,Seattle World School,100989.0,24.0,276.0,11.5,15.0,ALL,,,,,All,,,,,,1,15:22.7
4273,2017-2018,School,100990,Pathfinder K-8 School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1620.0,Pathfinder K-8 School,100990.0,37.0,487.0,13.16216,17.0,ALL,,,,,All,,,,,,1,15:22.7
4274,2017-2018,School,100996,Interagency Programs,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1635.0,Interagency Programs,100996.0,40.0,349.0,8.725,7.0,ALL,,,,,All,,,,,,1,15:22.7
4275,2017-2018,School,101004,Cascade Parent Partnership Program,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1751.0,Cascade Parent Partnership Program,101004.0,5.0,193.0,38.6,,ALL,,,,,All,,,,,,1,15:22.7
4276,2017-2018,School,101006,Salmon Bay K-8 School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1796.0,Salmon Bay K-8 School,101006.0,40.0,656.0,16.4,21.0,ALL,,,,,All,,,,,,1,15:22.7
4277,2017-2018,School,101013,The Center School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,1856.0,The Center School,101013.0,16.0,242.0,15.125,16.0,ALL,,,,,All,,,,,,1,15:22.7
4278,2017-2018,School,101036,Green Lake Elementary School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,2061.0,Green Lake Elementary School,101036.0,29.0,437.0,15.068970000000002,21.0,ALL,,,,,All,,,,,,1,15:22.7
4279,2017-2018,School,101037,John Hay Elementary School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,2063.0,John Hay Elementary School,101037.0,36.0,490.0,13.61111,33.0,ALL,,,,,All,,,,,,1,15:22.7
4280,2017-2018,School,101038,Madrona K-5 School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,2069.0,Madrona K-5 School,101038.0,20.0,237.0,11.85,29.0,ALL,,,,,All,,,,,,1,15:22.7
4281,2017-2018,School,101039,Beacon Hill International School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,2070.0,Beacon Hill International School,101039.0,30.0,416.0,13.866670000000001,29.0,ALL,,,,,All,,,,,,1,15:22.7
4282,2017-2018,School,101041,Stevens Elementary School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,2080.0,Stevens Elementary School,101041.0,25.0,285.0,11.4,23.0,ALL,,,,,All,,,,,,1,15:22.7
4283,2017-2018,School,101042,John Stanford International School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,2081.0,John Stanford International School,101042.0,28.0,452.0,16.14286,31.0,ALL,,,,,All,,,,,,1,15:22.7
4284,2017-2018,School,101044,Martin Luther King Jr. Elementary School,King,Puget Sound Educational Service District 121,100006.0,17001.0,Seattle School District No. 1,100229.0,2089.0,Martin Luther King Jr. Elementary School,101044.0,23.0,272.0,11.826089999999999,25.0,ALL,,,,,All,,,,,,1,15:22.7
