District Code,DistrictName,School Code,SchoolName,grade span (Oct16),Highest Grade (Oct16),School Category in 2016-17,Students - 10/1/2016,Students In Poverty,Poverty - 10/1/2016,Eligibility as Challenging School for School Year 2017-18
14005,Aberdeen,2834,A J West Elementary,PK-6,6,Elementary,407,310,76.17%,Challenging School
14005,Aberdeen,3216,Central Park Elementary,K-6,6,Elementary,158,72,45.57%,Not eligible - Poverty below threshold
14005,Aberdeen,4267,Grays Harbor Juvenile Detention,7-12,12,High,19,10,52.63%,Challenging School2
14005,Aberdeen,3857,Harbor High School,9-12,12,High,157,107,68.15%,Challenging School
14005,Aberdeen,3154,Hopkins Elementary,PK-PK,PK,Elementary,59,37,62.71%,Not eligible - Poverty below threshold
14005,Aberdeen,3476,J M Weatherwax High School,9-12,12,High,897,538,59.98%,Challenging School
14005,Aberdeen,2449,McDermoth Elementary,K-6,6,Elementary,381,255,66.93%,Not eligible - Poverty below threshold
14005,Aberdeen,2305,Miller Junior High,7-8,8,Middle,478,325,67.99%,Challenging School
14005,Aberdeen,2763,Robert Gray Elementary,PK-6,6,Elementary,345,237,68.70%,Not eligible - Poverty below threshold
14005,Aberdeen,2971,Stevens Elementary School,PK-6,6,Elementary,497,361,72.64%,Challenging School
14005,Aberdeen,5208,Twin Harbors - A Branch of New Market Skills Center,9-12,12,High,12,0,0.00%,Not eligible - Poverty below threshold
21226,Adna,2227,Adna Elementary School,PK-5,5,Elementary,273,76,27.84%,Not eligible - Poverty below threshold
21226,Adna,2441,Adna Middle/High School,6-12,12,High,372,106,28.49%,Not eligible - Poverty below threshold
22017,Almira,2860,Almira Elementary School,K-8,8,Middle,109,42,38.53%,Not eligible - Poverty below threshold
29103,Anacortes,2467,Anacortes High School,9-12,12,High,759,178,23.45%,Not eligible - Poverty below threshold
29103,Anacortes,2707,Anacortes Middle School,7-8,8,Middle,425,123,28.94%,Not eligible - Poverty below threshold
29103,Anacortes,5176,Cap Sante High School,9-12,12,High,65,34,52.31%,Challenging School
29103,Anacortes,3182,Fidalgo Elementary,K-6,6,Elementary,445,122,27.42%,Not eligible - Poverty below threshold
29103,Anacortes,3252,Island View Elementary,K-6,6,Elementary,491,160,32.59%,Not eligible - Poverty below threshold
29103,Anacortes,3057,Mount Erie Elementary,K-6,6,Elementary,480,118,24.58%,Not eligible - Poverty below threshold
29103,Anacortes,3404,Whitney Elementary Anacortes,PK-K,K,Elementary,138,33,23.91%,Not eligible - Poverty below threshold
31016,Arlington,2523,Arlington High School,9-12,12,High,"1,636",444,27.14%,Not eligible - Poverty below threshold
31016,Arlington,2277,Arlington Special Educ School,PK-4,4,Elementary,46,9,19.57%,Not eligible - Poverty below threshold
31016,Arlington,4327,Eagle Creek Elementary,K-5,5,Elementary,598,272,45.48%,Not eligible - Poverty below threshold
31016,Arlington,5010,Haller Middle School,6-8,8,Middle,679,185,27.25%,Not eligible - Poverty below threshold
31016,Arlington,4436,Kent Prairie Elementary,K-5,5,Elementary,622,251,40.35%,Not eligible - Poverty below threshold
31016,Arlington,4573,Pioneer Elementary,K-5,5,Elementary,578,164,28.37%,Not eligible - Poverty below threshold
31016,Arlington,3124,Post Middle School,6-8,8,Middle,595,224,37.65%,Not eligible - Poverty below threshold
31016,Arlington,4154,Presidents Elementary,PK-5,5,Elementary,536,192,35.82%,Not eligible - Poverty below threshold
31016,Arlington,1714,Stillaguamish School,K-12,12,High,140,34,24.29%,Not eligible - Poverty below threshold
31016,Arlington,4287,Weston High School,9-12,12,High,117,54,46.15%,Not eligible - Poverty below threshold
2420,Asotin-Anatone,2507,Asotin Elementary,PK-5,5,Elementary,284,100,35.21%,Not eligible - Poverty below threshold
